# ID  glon  glat  vrad fe_h mg_fe o_fe 
2M17052952-3453126         -9.69905   3.71460 -224.536  0.094  0.091  0.072 
2M17053728-3450090         -9.64224   3.72415   -8.945  0.200  0.070  0.075 
2M17054203-3449528         -9.62884   3.71385 -175.291  0.567  0.119  0.031 
2M17054527-2808308         -4.23491   7.70820   28.517 -0.323  0.258  0.210 
2M17055118-3445107         -9.54724   3.73601  -51.154 -0.665  0.345  0.265 
2M17055389-3513088         -9.91475   3.44821  -10.224  0.508  0.049  0.019 
2M17055395-3509497         -9.87036   3.48129 -174.720 -0.279  0.291  0.211 
2M17055549-3507563         -9.84201   3.49607   43.225 -0.894  0.382  0.166 
2M17055616-3439207         -9.45910   3.78083   28.507 -0.697  0.384  0.291 
2M17055637-3442114         -9.49665   3.75177  -77.922 -0.681  0.376  0.296 
2M17055701-2814139         -4.28642   7.61688  -61.844 -0.346  0.320  0.254 
2M17055954-3504282         -9.78742   3.51981 -132.734 -0.332  0.349  0.273 
2M17055954-3457529         -9.69950   3.58585  -67.237 -0.073  0.208  0.149 
2M17060330-3451554         -9.61227   3.63529 -162.004  0.286  0.009  0.016 
2M17061037-3516470         -9.92947   3.36695   35.815  0.433  0.087  0.013 
2M17061626-3511267         -9.84616   3.40440 -137.406  0.333  0.031  0.026 
2M17062390-3522270         -9.97739   3.27343 -155.563  0.301  0.079  0.045 
2M17062684-3510018         -9.80559   3.38975 -221.018  0.376  0.074  0.028 
2M17062728-3520563         -9.95031   3.27938 -251.962 -0.413  0.337  0.282 
2M17063165-3514366         -9.85688   3.33081    6.106 -0.470  0.324  0.305 
2M17063178-3506267         -9.74762   3.41217 -125.630 -0.627  0.342  0.299 
2M17063388-3453093         -9.56578   3.53936   11.327 -0.528  0.291  0.242 
2M17063577-3509418         -9.78283   3.36876  -66.169 -0.364  0.199  0.253 
2M17064452-3459586         -9.63509   3.44208 -117.883 -0.206  0.152  0.098 
2M17064996-3505396         -9.69987   3.37043   43.928 -0.232  0.253  0.221 
2M17065458-3445552         -9.42658   3.55503  -31.102  0.434  0.032 -0.004 
2M17065725-3502512         -9.64744   3.37859 -125.126 -0.739  0.387  0.351 
2M17114278-2433297         -0.51043   8.72578  -41.211 -0.379  0.314  0.277 
2M17115013-2431355         -0.46796   8.72133 -105.747 -0.418  0.242  0.253 
2M17115921-2428222         -0.40349   8.72418   17.411 -0.046  0.202  0.233 
2M17120807-2413067         -0.17359   8.84328   40.729 -0.523  0.314  0.263 
2M17121023-2433275         -0.44922   8.64117   69.331 -0.493  0.252  0.219 
2M17122752-2434154         -0.42203   8.57995  -53.674 -0.846  0.368  0.274 
2M17122797-2428378         -0.34351   8.63258  -85.491 -0.543  0.262  0.222 
2M17124005-2401433          0.05434   8.85301  219.053 -0.553  0.348  0.283 
2M17124093-2811423         -3.37406   6.44163   42.867  0.391 -0.053 -0.013 
2M17124321-2437579         -0.43851   8.49577  -81.397 -0.605  0.305  0.297 
2M17124972-2419285         -0.16924   8.65286  100.875 -1.205  0.334  0.120 
2M17125057-2405154          0.02882   8.78641  -67.500  0.210  0.007  0.017 
2M17125346-2512121         -0.88735   8.13542   51.624 -0.612  0.333  0.282 
2M17125989-2808509         -3.29435   6.41261  121.695 -0.446  0.299  0.279 
2M17131076-2423366         -0.17987   8.54792  -65.235 -0.380  0.282  0.248 
2M17131094-2436456         -0.36083   8.42141 -155.534 -0.661  0.307  0.254 
2M17131264-2501008         -0.69124   8.18364   74.270 -0.782  0.362  0.294 
2M17131346-2504316         -0.73784   8.14743  -50.442 -0.631  0.360  0.292 
2M17131427-2422387         -0.15882   8.54625 -207.921 -0.352  0.311  0.239 
2M17131453-2406232          0.06616   8.70097 -258.157 -0.302  0.292  0.249 
2M17131636-2433595         -0.31073   8.43111 -103.814 -0.419  0.292  0.239 
2M17131877-2429341         -0.24440   8.46597   78.601 -0.134  0.042  0.052 
2M17131923-2405356          0.08749   8.69393  -78.334 -0.325  0.345  0.264 
2M17132021-2806306         -3.21883   6.37440   50.874 -0.965  0.253  0.189 
2M17132290-2413080         -0.00851   8.61040   16.590 -0.019  0.187  0.171 
2M17132485-3047091         -5.39791   4.80422   37.329  0.216  0.076  0.040 
2M17132676-2511494         -0.80913   8.03640   15.613  0.223  0.112  0.059 
2M17132825-2500303         -0.65000   8.14030 -114.677 -0.827  0.355  0.268 
2M17132947-2432107         -0.25686   8.40779  -56.733 -0.582  0.340  0.282 
2M17132994-2403505          0.13532   8.67730  -97.998 -0.672  0.350  0.296 
2M17133034-2415531         -0.03011   8.56095  -88.024 -0.467  0.334  0.262 
2M17133037-2734029         -2.75317   6.65734   10.871 -0.121  0.052  0.039 
2M17133832-3051484         -5.43301   4.71985  -39.952  0.390  0.116  0.053 
2M17134093-3031146         -5.14790   4.91175  -87.298 -0.627  0.332  0.263 
2M17134312-3055233         -5.47168   4.67114  -50.616 -0.438  0.260  0.184 
2M17134461-2348497          0.37520   8.77484   36.894 -0.478  0.337  0.294 
2M17134639-2420587         -0.06508   8.46234   -1.805 -0.312  0.274  0.275 
2M17134723-2452193         -0.49561   8.15999 -163.448 -0.695  0.360  0.273 
2M17135140-2504021         -0.64791   8.03497   -0.948 -0.446  0.325  0.299 
2M17135216-2840358         -3.61615   5.94965 -160.739  0.246  0.055 -0.002 
2M17135217-3028296         -5.08691   4.90560   35.606  0.415  0.084  0.036 
2M17135340-2417007          0.00514   8.47841  -45.969 -0.327  0.264  0.236 
2M17135374-2345257          0.44238   8.77873 -126.462 -0.639  0.349  0.273 
2M17135456-3029437         -5.09872   4.88663  -55.529  0.087  0.172  0.076 
2M17135525-2502190         -0.61579   8.03951  152.476 -1.164  0.232  0.059 
2M17135672-2815263         -3.26271   6.17891  -56.377 -0.101  0.153  0.145 
2M17135857-2407073          0.15311   8.55673 -153.732  0.372  0.081  0.020 
2M17135888-2345151          0.45617   8.76434 -130.339 -0.063  0.212  0.157 
2M17140000-2732209         -2.66614   6.58440 -100.398 -1.115  0.327  0.272 
2M17140074-3048530         -5.34643   4.68296  -97.353 -0.259  0.279  0.246 
2M17140129-2429355         -0.15122   8.33371 -102.536 -0.145  0.164  0.125 
2M17140242-2423503         -0.06931   8.38517  -75.547 -0.252  0.334  0.258 
2M17140245-3106280         -5.58200   4.50753   39.519 -0.259  0.285  0.222 
2M17140256-2435595         -0.23677   8.26864    1.988 -0.483  0.344  0.275 
2M17140387-2446083         -0.37387   8.16758  -25.573 -0.522  0.364  0.266 
2M17140418-3039224         -5.20983   4.76509 -111.913  0.173  0.111  0.056 
2M17140425-3031000         -5.09573   4.84600   41.597 -0.285  0.277  0.211 
2M17140540-2404358          0.20306   8.55952   42.280 -0.592  0.350  0.281 
2M17140701-2415267          0.05670   8.45099   -0.559 -0.509  0.351  0.303 
2M17140723-3106089         -5.56772   4.49675 -116.255  0.514  0.054  0.015 
2M17140789-2426221         -0.09222   8.34397 -122.368 -0.105  0.201  0.197 
